a,b,relationship,weight
FTV,CDW,pearson,763.436392364316
FTV,CFG,pearson,862.433614257297
FTV,CMI,pearson,822.1137152657983
FTV,COF,pearson,783.8106861893269
FTV,COP,pearson,716.4368773979952
FTV,CPAY,pearson,849.6754287611147
FTV,CPRT,pearson,671.1802834883234
FTV,CPT,pearson,614.1063581557656
FTV,CRM,pearson,646.017836732224
FTV,CRWD,pearson,636.519986819461
FTV,CSCO,pearson,794.2532909502252
FTV,CSGP,pearson,701.744446914581
FTV,CSX,pearson,655.097593394084
FTV,CTRA,pearson,649.1838249256637
FTV,CTSH,pearson,716.3725445363671
FTV,CTVA,pearson,662.0342834911422
FTV,CVX,pearson,662.8271884587288
FTV,CZR,pearson,693.9159205065187
FTV,DAL,pearson,744.2817232825219
FTV,DASH,pearson,735.6239078427413
FTV,DAY,pearson,722.817396355104
FTV,DD,pearson,807.0215756292915
FTV,DE,pearson,653.4082610355255
FTV,DELL,pearson,729.5401634056004
FTV,DFS,pearson,712.0725539310905
FTV,DIS,pearson,810.2195575296892
FTV,DLR,pearson,608.4099000076096
FTV,DOV,pearson,866.3150500036761
FTV,DOW,pearson,696.3971336923609
FTV,DVN,pearson,773.2231764008283
FTV,DXCM,pearson,600.8797674612126
FTV,EFX,pearson,609.0290853639096
FTV,EL,pearson,629.9363069917403
FTV,EMN,pearson,733.0885929892208
FTV,EMR,pearson,880.2601744261148
FTV,EOG,pearson,745.9801410091076
FTV,EPAM,pearson,619.3811634280221
FTV,EQIX,pearson,682.9567002094874
FTV,EQR,pearson,709.0801626550253
FTV,ESS,pearson,677.9865299034775
FTV,ETN,pearson,604.0783170570695
FTV,EXPD,pearson,624.1340157795466
FTV,EXPE,pearson,620.1503582468595
FTV,F,pearson,600.5259123988843
FTV,FANG,pearson,765.1516571287337
FTV,FCX,pearson,770.3836196753202
FTV,FDS,pearson,671.5047872686897
FTV,FDX,pearson,694.6692925515924
FTV,FFIV,pearson,746.9262380293937
FTV,FI,pearson,685.534510331223
FTV,FICO,pearson,606.7055055108265
FTV,FITB,pearson,811.5627476763672
FTV,FOX,pearson,759.2556489629937
FTV,FOXA,pearson,751.7249574979414
FTV,FRT,pearson,698.2731903998882
FTV,FTNT,pearson,800.7074551412675
GD,ACGL,pearson,670.6603063037957
GD,ADP,pearson,621.2233987880112
GD,AFL,pearson,694.5595194731825
GD,AIG,pearson,694.3363544231472
GD,AIZ,pearson,633.7701176078225
GD,ALL,pearson,614.3022118299094
GD,ALLE,pearson,615.0875303754748
GD,AVB,pearson,715.817519929628
GD,BR,pearson,715.9497054530856
GD,BRK-B,pearson,667.5939994715326
GD,BRO,pearson,714.8239090353037
GD,BXP,pearson,609.5169339186696
GD,CAH,pearson,610.3038705346156
GD,CARR,pearson,627.5379137431381
GD,CB,pearson,619.1514293233336
GD,CPT,pearson,695.7297733872797
GD,CTAS,pearson,700.8893916467246
GD,CTVA,pearson,624.9903654036024
GD,DHR,pearson,610.5887588194864
GD,DOC,pearson,653.6535555243803
GD,EFX,pearson,665.6661996746643
GD,EG,pearson,749.7322174032719
GD,EQR,pearson,701.5858514930176
GD,ESS,pearson,651.2044178887804
GD,EXR,pearson,616.8746817275065
GD,FAST,pearson,614.9777364465183
GD,FDS,pearson,650.0943148172631
GDDY,AMAT,pearson,606.8327161799108
GDDY,DVA,pearson,692.7302811881186
GDDY,FRT,pearson,636.7263499562773
GE,ADI,pearson,706.6293920304541
GE,ADP,pearson,632.8974506644169
GE,ADSK,pearson,622.1187694439905
GE,AFL,pearson,609.6285209334497
GE,AIG,pearson,617.0622366458605
GE,AIZ,pearson,614.1123137063087
GE,AMD,pearson,663.9440900723461
GE,AME,pearson,804.4783884481832
GE,AMP,pearson,711.0689594341618
GE,AMZN,pearson,673.4063362805155
GE,ANSS,pearson,790.2640378327619
GE,APA,pearson,648.1699740441643
GE,APD,pearson,654.6443109492124
GE,APH,pearson,643.0417314147762
GE,APO,pearson,805.4892577778878
GE,AVB,pearson,646.903065981397
GE,AXP,pearson,788.0807050759496
GE,BA,pearson,751.2551853537682
GE,BAC,pearson,700.464186324115
GE,BK,pearson,710.5969255973371
GE,BKNG,pearson,706.5211881616258
GE,BKR,pearson,739.6388822458763
GE,BLK,pearson,724.95584195925
GE,BR,pearson,682.5789056060946
GE,BRK-B,pearson,634.840562941087
GE,BSX,pearson,756.0188445615349
GE,BX,pearson,719.1830099588508
GE,C,pearson,749.2145101900294
GE,CARR,pearson,608.8721376768642
GE,CAT,pearson,670.8675096760256
GE,CBRE,pearson,699.8348424102335
GE,CCL,pearson,674.6215839607326
GE,CDNS,pearson,625.0308482935508
GE,CDW,pearson,724.671570541354
GE,CFG,pearson,708.8823758463562
GE,CMG,pearson,631.0405333928111
GE,CMI,pearson,717.9116874697015
GE,COF,pearson,739.3764316684387
GE,COP,pearson,668.4464074778439
GE,CPAY,pearson,777.2537173844788
GE,CPRT,pearson,703.9000257037699
GE,CRWD,pearson,612.1892889011511
GE,CSCO,pearson,705.1889831647354
GE,CTAS,pearson,603.616766392838
GE,CTRA,pearson,646.0848324757812
GE,CTSH,pearson,689.3728054653441
GE,CTVA,pearson,745.4976039444454
GE,CVX,pearson,609.2504909576444
GE,DAL,pearson,614.5761989285472
GE,DASH,pearson,729.2161587843794
GE,DD,pearson,772.2855766589241
GE,DFS,pearson,679.7879492628184
GE,DIS,pearson,737.2966564980853
GE,DOV,pearson,774.8351550439617
GE,DVN,pearson,640.5855428036616
GE,EMN,pearson,629.707246315771
GE,EMR,pearson,730.6545435781361
GE,EQIX,pearson,699.8027098348854
GE,EQR,pearson,649.701411669992
GE,EQT,pearson,622.4998015210438
GE,ESS,pearson,627.2068385688347
GE,EXE,pearson,600.1057034311293
GE,FANG,pearson,710.401867497362
GE,FCX,pearson,694.068222952027
GE,FDS,pearson,601.0438665524925
GE,FFIV,pearson,696.886036483817
GE,FI,pearson,655.9325947546143
GE,FICO,pearson,609.8661054115696
GE,FITB,pearson,647.0745039251885
GE,FTNT,pearson,674.9508053455203
GE,FTV,pearson,736.0575260337396
GEHC,A,pearson,622.2239048474465
GEHC,AAPL,pearson,610.1409502531956
GEHC,ACGL,pearson,601.4120349438462
GEHC,ADI,pearson,613.587690860151
GEHC,ADP,pearson,643.2013216113078
GEHC,ADSK,pearson,614.623250928968
GEHC,AFL,pearson,604.9826323551982
GEHC,AIZ,pearson,637.2329444073611
GEHC,AME,pearson,690.0009143934785
GEHC,AMP,pearson,653.9407109993158
GEHC,ANSS,pearson,703.6883625100754
GEHC,APA,pearson,635.7553850082855
GEHC,APD,pearson,673.4527481949416
GEHC,APO,pearson,653.2693771338974
GEHC,AVB,pearson,686.7859102557916
GEHC,AXP,pearson,605.6999834903891
GEHC,BA,pearson,640.0091515697312
GEHC,BAC,pearson,616.681585223809
GEHC,BAX,pearson,637.5910195046804
GEHC,BK,pearson,686.6694729548908
GEHC,BKR,pearson,671.596759435182
GEHC,BLK,pearson,631.7360083037569
GEHC,BR,pearson,660.0424837214521
GEHC,BRK-B,pearson,655.8636157745187
GEHC,BRO,pearson,626.0886263739637
GEHC,BSX,pearson,610.4140734203698
GEHC,C,pearson,646.6000202988594
GEHC,CARR,pearson,604.8312584141172
GEHC,CAT,pearson,628.2659955541924
GEHC,CINF,pearson,626.947163393103
GEHC,CMI,pearson,624.2389698890482
GEHC,COP,pearson,607.2992179692872
GEHC,CPAY,pearson,693.0685359558112
GEHC,CPRT,pearson,637.0413573141856
GEHC,CPT,pearson,669.9733283597101
GEHC,CSCO,pearson,679.8567126751151
GEHC,CTAS,pearson,616.7348260378118
GEHC,CTSH,pearson,705.9546608218936
GEHC,CTVA,pearson,696.6242273425652
GEHC,CVX,pearson,632.3264342666189
GEHC,DAY,pearson,602.0029487311803
GEHC,DD,pearson,774.1164323929404
GEHC,DIS,pearson,630.1164224629166
GEHC,DOC,pearson,659.4874329306482
GEHC,DOV,pearson,676.887487594929
GEHC,DOW,pearson,611.3690874376942
GEHC,DVN,pearson,634.8020924690828
GEHC,EMR,pearson,719.2641157311024
GEHC,EOG,pearson,630.1900178365933
GEHC,EQR,pearson,699.1484953301926
GEHC,ESS,pearson,674.967348103956
GEHC,FANG,pearson,662.43510985322
GEHC,FCX,pearson,710.5870404355085
GEHC,FDS,pearson,663.5270795305822
GEHC,FI,pearson,660.9044652795676
GEHC,FRT,pearson,605.2584724659071
GEHC,FTNT,pearson,640.1482474068929
GEHC,FTV,pearson,753.167192006212
GEHC,GE,pearson,651.7737630188758
GEN,A,pearson,634.0304197314075
GEN,AAPL,pearson,703.3528832795631
GEN,ACGL,pearson,663.5164476229252
GEN,ACN,pearson,609.6313423152828
GEN,ADI,pearson,693.0816879800639
GEN,ADP,pearson,762.0187717765562
GEN,ADSK,pearson,709.0579586108026
GEN,AFL,pearson,670.4212898849977
GEN,AIG,pearson,686.6187472329154
GEN,AIZ,pearson,777.8678214679012
GEN,AMAT,pearson,608.4913320860508
GEN,AMD,pearson,632.621625829156
GEN,AME,pearson,714.2357338029191
GEN,AMP,pearson,707.0408878188628
GEN,ANSS,pearson,756.4633771692531
GEN,APA,pearson,676.100715470429
GEN,APD,pearson,680.5518394667828
GEN,APO,pearson,674.243108544196
GEN,APTV,pearson,631.4456655261289
GEN,AVB,pearson,737.0527616243808
GEN,AXP,pearson,700.61563546008
GEN,BAC,pearson,652.4459989776318
GEN,BAX,pearson,637.1823562716328
GEN,BK,pearson,776.4370905657405
GEN,BKNG,pearson,638.8982876480351
GEN,BKR,pearson,671.529507135636
GEN,BLK,pearson,708.5439885901212
GEN,BR,pearson,794.102829962289
GEN,BRK-B,pearson,720.890416120339
GEN,BRO,pearson,623.1667462353467
GEN,BSX,pearson,689.1394058758315
GEN,BX,pearson,707.8924654496751
GEN,C,pearson,627.0531014611754
GEN,CAH,pearson,637.5824115907765
GEN,CARR,pearson,735.1244758122442
GEN,CAT,pearson,642.9012430458803
GEN,CBRE,pearson,609.9063893302562
GEN,CCL,pearson,641.5907529185132
GEN,CDW,pearson,643.8314984546894
GEN,CFG,pearson,621.3933917240009
GEN,CHTR,pearson,604.2944801622293
GEN,CINF,pearson,663.7706305002874
GEN,CMI,pearson,658.9282698651568
GEN,COF,pearson,623.1229366663927
GEN,COP,pearson,613.0705110568193
GEN,CPAY,pearson,747.2644330120386
GEN,CPRT,pearson,692.9533547137881
GEN,CPT,pearson,713.6214672056536
GEN,CSCO,pearson,729.121530348483
GEN,CSGP,pearson,700.7641135478449
GEN,CSX,pearson,622.3066714700731
GEN,CTAS,pearson,720.0203109126714
GEN,CTRA,pearson,633.0129818759738
GEN,CTSH,pearson,759.4746436724997
GEN,CTVA,pearson,653.4951592690452
GEN,CVX,pearson,740.4919688672024
GEN,DASH,pearson,601.7853733187483
GEN,DAY,pearson,632.8660275853114
GEN,DD,pearson,730.998057618494
GEN,DIS,pearson,689.9177342547819
GEN,DOV,pearson,693.1308140397987
GEN,DOW,pearson,603.2267326902977
GEN,DVN,pearson,675.182285739679
GEN,ECL,pearson,627.4155873982775
GEN,EFX,pearson,661.991813594889
GEN,EG,pearson,667.3222210710484
GEN,EMR,pearson,705.2970591607457
GEN,EOG,pearson,672.7726783563775
GEN,EQR,pearson,729.9035741679967
GEN,ESS,pearson,723.229064617798
GEN,EXR,pearson,654.2436418614889
GEN,FANG,pearson,675.9992422810609
GEN,FAST,pearson,644.545523897543
GEN,FCX,pearson,668.9752162296561
GEN,FDS,pearson,628.2622567552811
GEN,FI,pearson,736.847480054875
GEN,FICO,pearson,656.1669161350524
GEN,FITB,pearson,663.8398871918425
GEN,FOX,pearson,600.1564181170434
GEN,FRT,pearson,618.8482437756223
GEN,FTNT,pearson,653.0356410811096
GEN,FTV,pearson,740.9499009767343
GEN,GD,pearson,636.8759087528329
GEN,GE,pearson,698.7858725165473
GEN,GEHC,pearson,742.1127390085878
GEV,AMAT,pearson,673.8009647352582
GEV,AMD,pearson,603.479692984777
GEV,AME,pearson,624.9050006126656
GEV,ANET,pearson,878.7337215867734
GEV,ANSS,pearson,687.6828766824286
GEV,APH,pearson,857.141890808014
GEV,APO,pearson,682.89156331702
GEV,AVGO,pearson,830.096615250705
GEV,AXP,pearson,621.8219375926175
GEV,BX,pearson,608.7049451912458
GEV,CDNS,pearson,790.8148526725543
GEV,CEG,pearson,900.582191150026
GEV,CMI,pearson,692.9006712579187
GEV,CRWD,pearson,602.8852814156922
GEV,CSCO,pearson,683.0163674109492
GEV,DELL,pearson,681.54495341955
GEV,DLR,pearson,804.1944730990576
GEV,DOV,pearson,646.0533877471031
GEV,EQIX,pearson,709.1655476904725
GEV,EQT,pearson,721.2789575426717
GEV,ETN,pearson,896.5684640012948
GEV,FFIV,pearson,617.5749637805245
GEV,GE,pearson,620.3876351910338
GIS,ADM,pearson,691.3107634860604
GIS,AMGN,pearson,636.6730087311485
GIS,AMT,pearson,627.8013509469349
GIS,AWK,pearson,671.7429271593435
GIS,BIIB,pearson,657.890195757043
GIS,CAG,pearson,868.0385654621475
GIS,CHD,pearson,610.5032537619817
GIS,CL,pearson,763.6851835827454
GIS,CPB,pearson,878.6629050155454
GIS,D,pearson,605.4977954781413
GIS,DGX,pearson,651.774273004407
GIS,ED,pearson,624.2494966843302
GL,AAPL,pearson,647.0414005635814
GL,ACGL,pearson,721.3253717971427
GL,ADI,pearson,619.3673063391027
GL,ADP,pearson,719.6498907154611
GL,ADSK,pearson,609.7228945924189
GL,AFL,pearson,828.1312468257223
GL,AIG,pearson,782.0528016304612
GL,AIZ,pearson,775.3767505357926
GL,AJG,pearson,669.5426227119838
GL,ALL,pearson,743.2614102335584
GL,AME,pearson,691.5157767433155
GL,AMP,pearson,748.1926383805153
GL,ANSS,pearson,731.3849041532491
GL,AON,pearson,706.7834381686306
GL,APD,pearson,636.274248056311
GL,APO,pearson,709.3660874416402
GL,ARE,pearson,625.3372593909911
GL,AVB,pearson,817.7690972841518
GL,AXP,pearson,702.3638896315413
GL,BA,pearson,628.6711657347582
GL,BAC,pearson,667.3896147825086
GL,BAX,pearson,607.7943860504345
GL,BDX,pearson,656.4121925299079
GL,BK,pearson,748.1000481757976
GL,BKR,pearson,720.0446966137756
GL,BLK,pearson,727.0843123948662
GL,BR,pearson,792.1763651498146
GL,BRK-B,pearson,770.1237486458986
GL,BRO,pearson,670.5029244874113
GL,BSX,pearson,718.3108664931026
GL,BX,pearson,665.2661845310548
GL,C,pearson,636.3122066873473
GL,CAH,pearson,709.8785425618534
GL,CAT,pearson,606.4680453717777
GL,CB,pearson,669.4013686123276
GL,CBRE,pearson,645.7582572183031
GL,CFG,pearson,626.1070876774703
GL,CINF,pearson,751.3468166708905
GL,CMI,pearson,617.2502426618299
GL,COF,pearson,660.7463770490516
GL,COP,pearson,624.5996891944995
GL,CPAY,pearson,723.7152905804062
GL,CPRT,pearson,604.3062235697305
GL,CPT,pearson,780.5822637489659
GL,CSCO,pearson,659.4115408455574
GL,CTAS,pearson,693.3302127035521
GL,CTVA,pearson,676.8645188599024
GL,CVX,pearson,657.9472633388252
GL,DAL,pearson,600.8184625481332
GL,DAY,pearson,657.7003594001924
GL,DD,pearson,742.0129448797263
GL,DFS,pearson,625.4301326417977
GL,DIS,pearson,634.536121048365
GL,DOC,pearson,632.252513241765
GL,DOV,pearson,747.4911117680699
GL,DOW,pearson,639.5885137685409
GL,DRI,pearson,613.1774785988589
GL,DVN,pearson,661.230449433861
GL,ECL,pearson,600.3498823926523
GL,EFX,pearson,684.4261460818266
GL,EG,pearson,732.4626660840514
GL,EMN,pearson,625.3862264208976
GL,EMR,pearson,646.9457417920972
GL,EQR,pearson,793.2900559610155
GL,ESS,pearson,787.4301557208667
GL,EXPE,pearson,607.8229304345866
GL,EXR,pearson,622.5968859011132
GL,FANG,pearson,692.572109511467
GL,FCX,pearson,663.7883458511304
GL,FDS,pearson,730.1372509776097
GL,FI,pearson,797.4327833177088
GL,FITB,pearson,639.5370036005057
GL,FOX,pearson,660.9511935533109
GL,FOXA,pearson,643.5769805597644
GL,FRT,pearson,692.8722611536137
GL,FTNT,pearson,666.664371201332
GL,FTV,pearson,709.4530265698938
GL,GD,pearson,614.9505635639184
GL,GE,pearson,654.3278255166482
GL,GEHC,pearson,692.7665407423702
GL,GEN,pearson,760.6543674145497
GLW,A,pearson,615.2200959518362
GLW,ADI,pearson,603.0713222689972
GLW,ADSK,pearson,667.2048747994048
GLW,ALGN,pearson,602.4682510985093
GLW,AMAT,pearson,667.7128794933059
GLW,AMD,pearson,645.415063525443
GLW,AME,pearson,680.0889524703691
GLW,AMP,pearson,692.8608339277732
GLW,AMZN,pearson,695.0510892967732
GLW,ANET,pearson,766.903101981761
GLW,ANSS,pearson,762.5223344092412
GLW,APH,pearson,837.5247417883057
GLW,APO,pearson,774.7787338632828
GLW,AVGO,pearson,777.23518823682
GLW,AXP,pearson,775.5027460358266
GLW,BA,pearson,667.0593161309961
GLW,BAC,pearson,625.1753508586933
GLW,BEN,pearson,603.746289555628
GLW,BK,pearson,636.266599420866
GLW,BKR,pearson,701.5203864036357
GLW,BLK,pearson,628.4115095868804
GLW,BX,pearson,760.7862192206038
GLW,C,pearson,716.0206024428961
GLW,CARR,pearson,707.542724052586
GLW,CAT,pearson,658.8313565599262
GLW,CCL,pearson,604.0571526825327
GLW,CDNS,pearson,786.5577623845141
GLW,CDW,pearson,671.3046278102431
GLW,CEG,pearson,732.1285460931548
GLW,CFG,pearson,646.1352638395176
GLW,CMI,pearson,709.4423759728318
GLW,COF,pearson,741.1309024912676
GLW,CPAY,pearson,670.3591752633699
GLW,CRWD,pearson,621.1426246966939
GLW,CSCO,pearson,755.9969276409878
GLW,DASH,pearson,640.2548285218965
GLW,DD,pearson,621.702658755427
GLW,DELL,pearson,722.9553864814704
GLW,DFS,pearson,695.1049912121903
GLW,DLR,pearson,674.2078029327238
GLW,DOV,pearson,733.1496441253465
GLW,DXCM,pearson,643.4170066454908
GLW,EMR,pearson,715.1303676182238
GLW,EQIX,pearson,639.2743800271044
GLW,EQT,pearson,666.639647555739
GLW,ETN,pearson,811.744522296996
GLW,FTNT,pearson,663.8867648698431
GLW,FTV,pearson,679.5573082897836
GLW,GE,pearson,634.474759361209
GLW,GEV,pearson,770.8458897451709
GM,APTV,pearson,635.999973560802
GM,CAT,pearson,600.4489985966117
GM,DAL,pearson,618.9511953283701
GM,F,pearson,698.5492899565477
GNRC,A,pearson,605.4625304137738
GNRC,ALGN,pearson,636.8907690075102
GNRC,ALLE,pearson,613.6016195984162
GNRC,AMD,pearson,650.9374178334726
GNRC,AME,pearson,669.5664273004373
GNRC,APO,pearson,642.4381104983842
GNRC,APTV,pearson,673.8902976498707
GNRC,AXP,pearson,614.8981959120358
GNRC,BA,pearson,610.1389561566823
GNRC,BKNG,pearson,608.5628853729519
GNRC,BXP,pearson,623.8576299632875
GNRC,C,pearson,628.2928118431331
GNRC,CARR,pearson,653.1111536652462
GNRC,CFG,pearson,615.1842996567847
GNRC,CPAY,pearson,651.5543320923184
GNRC,CSCO,pearson,621.4921901464505
GNRC,DAL,pearson,670.3638106184051
GNRC,DE,pearson,644.5503157200595
GNRC,DELL,pearson,628.917049561991
GNRC,DOV,pearson,653.3261014568711
GNRC,EMR,pearson,652.3239136265171
GNRC,F,pearson,617.9404798686431
GNRC,FCX,pearson,614.512941165671
GNRC,FDX,pearson,652.7077796792173
GNRC,FTV,pearson,688.8198012241945
GOOG,ADSK,pearson,617.6235529006472
GOOG,AMAT,pearson,623.0574320590397
GOOG,AMD,pearson,825.83566272304
GOOG,AMZN,pearson,766.484592801927
GOOG,ANSS,pearson,640.6355655982602
GOOG,APH,pearson,617.4113170325084
GOOG,AVGO,pearson,619.1838904690438
GOOG,AXP,pearson,604.2276811839051
GOOG,BLK,pearson,618.6121340361475
GOOG,CDNS,pearson,613.3691742232784
GOOG,DAY,pearson,654.3795002284542
GOOG,DOV,pearson,602.6821758416827
GOOG,EMR,pearson,702.7983369130048
GOOG,ETN,pearson,639.0461482483992
GOOG,FTV,pearson,639.2334325200471
GOOGL,ADSK,pearson,609.4303511908595
GOOGL,AMAT,pearson,610.2740749834835
GOOGL,AMD,pearson,819.6841689917783
GOOGL,AMZN,pearson,758.4947383535932
GOOGL,ANSS,pearson,635.2816622765368
GOOGL,APH,pearson,610.6840639689113
GOOGL,AVGO,pearson,611.6745063270787
GOOGL,BLK,pearson,611.7719518128049
GOOGL,CDNS,pearson,604.8633307523625
GOOGL,DAY,pearson,651.0320770436052
GOOGL,EMR,pearson,694.4940140123934
GOOGL,ETN,pearson,632.3726905131826
GOOGL,FTV,pearson,631.9883747759096
GOOGL,GOOG,pearson,998.8647689186273
GPC,ALLE,pearson,774.0147450248035
GPC,AMCR,pearson,738.5114223431113
GPC,AOS,pearson,657.8302697757584
GPC,AVY,pearson,625.125247298729
GPC,AZO,pearson,623.2253460427527
GPC,BLDR,pearson,611.826431424998
GPC,CAG,pearson,606.3899839125532
GPC,CSX,pearson,601.1880190203882
GPC,CTSH,pearson,614.0272790431058
GPC,DOC,pearson,608.500527795259
GPC,ECL,pearson,673.1677584200744
GPC,ES,pearson,632.8057482367526
GPC,EXR,pearson,705.7782611439825
GPC,F,pearson,619.8551144379277
GPC,FAST,pearson,740.5023685017132
GPC,FDS,pearson,614.1057703242643
GPN,A,pearson,679.0024049016376
GPN,AAPL,pearson,746.9306295411882
GPN,ACN,pearson,625.306418367021
GPN,ADI,pearson,698.6619061237012
GPN,ADP,pearson,723.4857153817959
GPN,ADSK,pearson,649.4844882409233
GPN,AFL,pearson,665.761872675454
GPN,AIG,pearson,692.2198391444851
GPN,AIZ,pearson,658.6080468982934
GPN,ALB,pearson,652.1066839872934
GPN,AMD,pearson,632.9626506725176
GPN,AME,pearson,708.7110861422213
GPN,AMP,pearson,701.7648919642473
GPN,AMZN,pearson,604.4071127086404
GPN,ANSS,pearson,672.2782252421576
GPN,AON,pearson,614.4766664144348
GPN,APA,pearson,687.2666571912799
GPN,APD,pearson,739.8317545840305
GPN,APO,pearson,741.5646739869462
GPN,APTV,pearson,691.9188437342217
GPN,ARE,pearson,680.2663325668115
GPN,AVB,pearson,774.7732076401284
GPN,AXP,pearson,796.6701884418914
GPN,BA,pearson,711.5916698080945
GPN,BAC,pearson,692.4943886742268
GPN,BAX,pearson,629.3341551293928
GPN,BBY,pearson,631.4748022465034
GPN,BEN,pearson,668.7445973320441
GPN,BK,pearson,757.6735153704542
GPN,BKNG,pearson,679.2791705859604
GPN,BKR,pearson,718.8802095579766
GPN,BLK,pearson,754.6999207425022
GPN,BR,pearson,805.7118841073669
GPN,BRK-B,pearson,709.8366383819235
GPN,BSX,pearson,648.1019167542737
GPN,BX,pearson,734.1341026944774
GPN,BXP,pearson,682.1802214641015
GPN,C,pearson,692.892410256953
GPN,CAH,pearson,644.2443029896623
GPN,CARR,pearson,692.502775013292
GPN,CAT,pearson,634.2522415712243
GPN,CBRE,pearson,638.7168143882888
GPN,CCL,pearson,681.0768333648514
GPN,CDW,pearson,730.3157892025295
GPN,CFG,pearson,722.78399939052
GPN,CHTR,pearson,608.9727345832625
GPN,CMI,pearson,678.6534211620939
GPN,COF,pearson,720.9978110585782
GPN,COP,pearson,700.6206937187469
GPN,CPAY,pearson,809.0993630211262
GPN,CPRT,pearson,608.9463556645651
GPN,CPT,pearson,713.1061822895482
GPN,CSCO,pearson,718.9365774137888
GPN,CSGP,pearson,650.6069711908151
GPN,CSX,pearson,684.236946973152
GPN,CTAS,pearson,682.1253644009864
GPN,CTSH,pearson,677.1807591256864
GPN,CTVA,pearson,635.421913782104
GPN,CVX,pearson,727.6948150091088
GPN,DAL,pearson,780.6913369924966
GPN,DAY,pearson,625.9152116944623
GPN,DD,pearson,712.1460200250749
GPN,DE,pearson,731.5271676718216
GPN,DFS,pearson,672.8196010234185
GPN,DIS,pearson,768.9455816278477
GPN,DOV,pearson,751.7310690645278
GPN,DOW,pearson,694.2244346340356
GPN,DRI,pearson,658.3589474944025
GPN,DVN,pearson,721.2937223060454
GPN,EFX,pearson,719.9240752753167
GPN,EMN,pearson,716.8003242259881
GPN,EMR,pearson,731.5046750021023
GPN,EOG,pearson,683.5597469859648
GPN,EQR,pearson,794.6827514900272
GPN,ESS,pearson,774.844634606423
GPN,EXPD,pearson,603.4410764770175
GPN,EXPE,pearson,621.5658260274308
GPN,EXR,pearson,642.5487870176166
GPN,FANG,pearson,707.0358107719525
GPN,FAST,pearson,604.4281606923957
GPN,FDS,pearson,772.1371495876868
GPN,FDX,pearson,692.0267741411326
GPN,FFIV,pearson,605.1237963072899
GPN,FI,pearson,758.3770274020047
GPN,FIS,pearson,642.6902670698889
GPN,FITB,pearson,736.0060782813068
GPN,FOX,pearson,706.0336356635655
GPN,FOXA,pearson,707.5739586539073
GPN,FRT,pearson,620.7666351332432
GPN,FTNT,pearson,633.8162927506894
GPN,FTV,pearson,760.6316556486736
GPN,GD,pearson,617.5633695454416
GPN,GE,pearson,691.3247975639199
GPN,GEN,pearson,728.2245883619457
GPN,GL,pearson,755.3770982751448
GPN,GNRC,pearson,723.8612163371146
GRMN,A,pearson,603.3451355494487
GRMN,ADI,pearson,747.4697582644607
GRMN,ADSK,pearson,600.1731765158929
GRMN,AME,pearson,728.1083324330009
GRMN,AMP,pearson,654.0117588914441
GRMN,AMZN,pearson,668.7592872653835
GRMN,APA,pearson,612.6173150858094
GRMN,APO,pearson,655.9131445992203
GRMN,AXP,pearson,700.1673805991384
GRMN,BA,pearson,643.108735363665
GRMN,BAC,pearson,650.0546909917311
GRMN,BBY,pearson,657.7558749421969
GRMN,BLK,pearson,626.8241058446565
GRMN,BX,pearson,653.0320749080404
GRMN,C,pearson,657.0938306905507
GRMN,CBRE,pearson,620.6942222379755
GRMN,CCL,pearson,687.0010989824456
GRMN,CDW,pearson,602.4489612928455
GRMN,CFG,pearson,772.7730441398392
GRMN,CMI,pearson,682.5660419072516
GRMN,COF,pearson,720.5087765449719
GRMN,CPAY,pearson,673.2298609220597
GRMN,CSCO,pearson,658.650357605285
GRMN,CSGP,pearson,695.162473625244
GRMN,DAL,pearson,636.3390353645954
GRMN,DASH,pearson,628.6271869396643
GRMN,DFS,pearson,649.8829954001183
GRMN,DIS,pearson,698.7482383045151
GRMN,DOV,pearson,671.1213096316075
GRMN,DVN,pearson,685.5355287154471
GRMN,EMR,pearson,630.3885245236934
GRMN,FANG,pearson,633.7666088261369
GRMN,FITB,pearson,694.7269222786333
GRMN,FOX,pearson,699.6872083437967
GRMN,FOXA,pearson,698.3759133001828
GRMN,FTNT,pearson,647.4002538447595
GRMN,FTV,pearson,776.4010794734666
GS,A,pearson,688.538554568355
GS,AAPL,pearson,680.8683330458747
GS,ABNB,pearson,673.8717029915022
GS,ADI,pearson,716.1132438408777
GS,ADSK,pearson,724.6360519577183
GS,ALGN,pearson,738.1771407917167
GS,AMAT,pearson,628.6147901815174
GS,AMD,pearson,702.8698791027767
GS,AME,pearson,772.6521042378645
GS,AMP,pearson,842.1663260707737
GS,AMZN,pearson,767.8913182218171
GS,ANSS,pearson,753.6806063685693
GS,APA,pearson,681.0434965809312
GS,APD,pearson,635.141332544593
GS,APH,pearson,602.8943814239287
GS,APO,pearson,888.5326908555786
GS,APTV,pearson,679.037132619722
GS,AVB,pearson,657.270872235565
GS,AXP,pearson,919.6519650013348
GS,BA,pearson,786.7912137280669
GS,BAC,pearson,828.6249670807846
GS,BBY,pearson,622.8160217497974
GS,BEN,pearson,617.2601305445892
GS,BK,pearson,854.0676591549053
GS,BKNG,pearson,768.1653089286989
GS,BKR,pearson,714.1482332958724
GS,BLK,pearson,815.5668116476378
GS,BR,pearson,691.2955105702765
GS,BRK-B,pearson,654.338725119946
GS,BSX,pearson,753.4920214205664
GS,BX,pearson,866.5848879565141
