ticker,name,sector,industry
TPL,Texas Pacific Land Corporation,Energy,Oil & Gas E&P
TXT,Textron Inc.,Industrials,Aerospace & Defense
TMO,Thermo Fisher Scientific Inc,Healthcare,Diagnostics & Research
TJX,"TJX Companies, Inc. (The)",Consumer Cyclical,Apparel Retail
TSCO,Tractor Supply Company,Consumer Cyclical,Specialty Retail
TT,Trane Technologies plc,Industrials,Building Products & Equipment
TDG,Transdigm Group Incorporated,Industrials,Aerospace & Defense
TRV,"The Travelers Companies, Inc.",Financial Services,Insurance - Property & Casualty
TRMB,Trimble Inc.,Technology,Scientific & Technical Instruments
TFC,Truist Financial Corporation,Financial Services,Banks - Regional
TYL,"Tyler Technologies, Inc.",Technology,Software - Application
TSN,"Tyson Foods, Inc.",Consumer Defensive,Farm Products
USB,U.S. Bancorp,Financial Services,Banks - Regional
UBER,"Uber Technologies, Inc.",Technology,Software - Application
UDR,"UDR, Inc.",Real Estate,REIT - Residential
ULTA,"Ulta Beauty, Inc.",Consumer Cyclical,Specialty Retail
UNP,Union Pacific Corporation,Industrials,Railroads
UAL,"United Airlines Holdings, Inc.",Industrials,Airlines
UPS,"United Parcel Service, Inc.",Industrials,Integrated Freight & Logistics
URI,"United Rentals, Inc.",Industrials,Rental & Leasing Services
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans
UHS,"Universal Health Services, Inc.",Healthcare,Medical Care Facilities
VLO,Valero Energy Corporation,Energy,Oil & Gas Refining & Marketing
VTR,"Ventas, Inc.",Real Estate,REIT - Healthcare Facilities
VLTO,Veralto Corp,Industrials,Pollution & Treatment Controls
VRSN,"VeriSign, Inc.",Technology,Software - Infrastructure
VRSK,"Verisk Analytics, Inc.",Industrials,Consulting Services
VZ,Verizon Communications Inc.,Communication Services,Telecom Services
VRTX,Vertex Pharmaceuticals Incorpor,Healthcare,Biotechnology
VTRS,Viatris Inc.,Healthcare,Drug Manufacturers - Specialty & Generic
VICI,VICI Properties Inc.,Real Estate,REIT - Diversified
V,Visa Inc.,Financial Services,Credit Services
VST,Vistra Corp.,Utilities,Utilities - Independent Power Producers
VMC,Vulcan Materials Company (Holdi,Basic Materials,Building Materials
WRB,W.R. Berkley Corporation,Financial Services,Insurance - Property & Casualty
GWW,"W.W. Grainger, Inc.",Industrials,Industrial Distribution
WAB,Westinghouse Air Brake Technolo,Industrials,Railroads
WBA,"Walgreens Boots Alliance, Inc.",Healthcare,Pharmaceutical Retailers
WMT,Walmart Inc.,Consumer Defensive,Discount Stores
DIS,Walt Disney Company (The),Communication Services,Entertainment
WBD,"Warner Bros. Discovery, Inc. - ",Communication Services,Entertainment
WM,"Waste Management, Inc.",Industrials,Waste Management
WAT,Waters Corporation,Healthcare,Diagnostics & Research
WEC,"WEC Energy Group, Inc.",Utilities,Utilities - Regulated Electric
WFC,Wells Fargo & Company,Financial Services,Banks - Diversified
WELL,Welltower Inc.,Real Estate,REIT - Healthcare Facilities
WST,"West Pharmaceutical Services, I",Healthcare,Medical Instruments & Supplies
WDC,Western Digital Corporation,Technology,Computer Hardware
WY,Weyerhaeuser Company,Real Estate,REIT - Specialty
WMB,"Williams Companies, Inc. (The)",Energy,Oil & Gas Midstream
WTW,Willis Towers Watson Public Lim,Financial Services,Insurance Brokers
WDAY,"Workday, Inc.",Technology,Software - Application
WYNN,"Wynn Resorts, Limited",Consumer Cyclical,Resorts & Casinos
XEL,Xcel Energy Inc.,Utilities,Utilities - Regulated Electric
XYL,Xylem Inc.,Industrials,Specialty Industrial Machinery
YUM,"Yum! Brands, Inc.",Consumer Cyclical,Restaurants
ZBRA,Zebra Technologies Corporation,Technology,Communication Equipment
ZBH,"Zimmer Biomet Holdings, Inc.",Healthcare,Medical Devices
ZTS,Zoetis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic
